Marca temporal,¿Cuál consideras que es tu nivel previo en programación?,¿Has tenido contacto previo con algún lenguaje de programación? (Puedes marcar varios),¿Cuál crees que será tu mayor desafío a la hora de aprender a programar?,Provincia,Localidad:,País:,Ocupación:,¿Trabajas en el campo de la tecnología (IT)?,Edad:,Gustos e Intereses (pueden ser múltiples):,¿Qué tipo de contenido te gustaría ver en futuras clases o actividades?Que temas te interesan para ver en la materia Programación 1. Que Programas te gustaría realizar ?,¿Tienes alguna sugerencia para mejorar el ambiente en clase?,¿Que te parece que se puede hacer para incentivar uso de las camaras en las clases?,Algún libro / video / documento sobre IT que te gustó para recomendar ?,Libros o películas en general para recomendar?,"Pregunta abierta, considera poner lo que quieras.."
28/8/2026 12:23:32,Ninguno (Es mi primera vez viendo código),Ninguno,Aprender la sintaxis y comandos del lenguaje,,,,Estudiante,No,25-34 años,"Deportes, Tecnología, Música",,,,,,
28/8/2026 12:33:00,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)",Python,La lógica y resolución de problemas,Buenos aires,Caba,Argentina,Trabajador tiempo completo,No,35-44 años,"Deportes, Tecnología, Música, Viajes",Python. Git. Vs code. ,,A mi no me molesta el uso de cámaras ni tampoco me disgusta que no prendan. ,Veo mucho YouTube. ,Ahora no se me ocurre ,
28/8/2026 14:12:40,Avanzado (Ya programo con fluidez y entiendo lógica compleja),"Python, JavaScript, HTML / CSS (Desarrollo Web)",Aprender la sintaxis y comandos del lenguaje,Buenos Aires,CABA,Argentina,Pasante,Sí,18-24 años,"Deportes, Tecnología, Música, Viajes, Arte","Programas con librerias estilo TensorFLow, PyTorch, Pandas, etc.",Estoy conforme con el ambiente,,"MDN docs, W3Schools para documentación, Stack overflow como comunidad.",Serial Experiments Lain,
28/8/2026 19:00:48,Avanzado (Ya programo con fluidez y entiendo lógica compleja),"Python, C / C++, HTML / CSS (Desarrollo Web), Assembler, Visual Basic",Hacerme el tiempo para practicar,Buenos Aires,Baradero,Argentina,Trabajador tiempo completo,No,45-54 años,"Lectura, Deportes, Tecnología, Música",,"Las clases me parecen muy dinamicas, y prácticas. Me gusta mucho la metodologia de enseñanza.",,,,
31/8/2026 20:59:50,Intermedio (He hecho pequeños programas o scripts antes que funcionan),"Python, C / C++, HTML / CSS (Desarrollo Web)",La lógica y resolución de problemas,Santa Fe,Rosario,Argentina,Estudiante,No,18-24 años,"Lectura, Tecnología, Música",Me gastaría ver contenido practico mas que nada y entender mejor el funcionamiento general. Me interesa aprender más sobre estructuras de datos y manejo de archivos.,,Dedicar tiempo a resolver problemas entre todos.,,"Me gustan las peliculas de ciencia ficción, la ultima que vi que me pareció interesante es Proyecto Salvación.",Me gustaría que la materia tenga más proyectos prácticos que permitan aplicar los conceptos aprendidos a problemas reales.
2/9/2026 9:55:48,Intermedio (He hecho pequeños programas o scripts antes que funcionan),"JavaScript, C / C++, HTML / CSS (Desarrollo Web)",La lógica y resolución de problemas,Capital Federal,Capital Federal,Argentina,Trabajador tiempo completo,Sí,25-34 años,"Deportes, Tecnología, Viajes",,A mi consideración es la clase que esta mejor adaptada y la que es mas dinámica ,Generar un vinculo de comodidad y confianza,,,
2/9/2026 18:24:51,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)",Java,Manejar la frustración cuando el código da errores,rio negro,cipolletti,argentina,"Estudiante, Trabajador tiempo completo",No,18-24 años,"Lectura, Música",,,,,el mito de sisifo de albert camus recomiendo 10/10,
2/9/2026 19:18:35,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)","Python, JavaScript, HTML / CSS (Desarrollo Web)",Hacerme el tiempo para practicar,Buenos Aires,CABA,ARGENTINA,"Estudiante, Trabajador tiempo completo",No,35-44 años,"Deportes, Tecnología",,,Que ciertos dias sea obligataria,,,
2/9/2026 19:18:48,"Básico (Conozco qué es una variable o un ""if"", pero me cuesta armar un programa)",Python,"Elijo varias de las opciones, menos la de manejar la frustracion cuando el codigo da errores",Buenos aires,CABA,Argentina,Trabajador tiempo completo,No,35-44 años,"Deportes, Tecnología, Música, Viajes",Github / Python / Terminales,"nono, estan buenas las clases. ","A veces se me complica prender porque estoy con gente en casa, tengo casa pequeña. ",No no leei ninguno. Videos de youtube siempre. ,No ,-
2/9/2026 19:21:41,Ninguno (Es mi primera vez viendo código),Ninguno,Aprender la sintaxis y comandos del lenguaje,,,,Trabajador tiempo completo,No,25-34 años,"Deportes, Tecnología, Música",,,,,,
2/9/2026 19:22:04,Ninguno (Es mi primera vez viendo código),Ninguno,Hacerme el tiempo para practicar,Buenos Aires,Beccar,Argentina,"Estudiante, Trabajador medio tiempo",No,18-24 años,"Deportes, Tecnología",Me gustaría el saber como analizarlos y detectar los errores para poder ejercer en un futuro el cargo de analista.,Ninguna,-,-,-,"Ninguna, solo dejar en claro la buena predisposición del profesor"
